What is the name of the cella of the Greek temple?;A) Pronaos;B) Opisthodomos;C) Peristasis;D) Naos;;г
What is the stone placed at the top of the arch called?;A) Voussoir;B) Impost;C) Metope;D) Acroterion;E) Keystone;д
What is the name of the artwork in the figure and who is the author?;A) Hebe by Antonio Canova;B) Naiad by Antonio Canova;C) Truth Revealed by Time by Gian Lorenzo Bernini;D) Paolina Borghese by Antonio Canova;E) Venus of the Medici;г
The architectural style shown in the figure is representative of which style? Pointed arch;A) Romanesque;B) Neoclassical;C) Baroque;D) Gothic;;г
What is the name of the floor plan in which the longitudinal arm is longer than the transverse one?;A) Greek cross;B) Composed cross;C) Cross of St. Andrew;D) Latin cross;E) Cross of Lorraine;г
Which architect do you associate with the Malatesta Temple?;A) Francesco di Giorgio Martini;B) Giuliano da Sangallo;C) Leon Battista Alberti;D) Gian Lorenzo Bernini;E) Giuseppe Piermarini;в
The Christian basilica derives from which previous models?;A) Greeks;B) Hebrews;C) Romans;D) Hellenists;E) Etruscans;в
The Bauhaus was founded by:;A) Le Corbusier;B) Walter Gropius;C) Marcel Breuer;D) Ludwig Mies van der Rohe;E) Eugène Viollet-le-Duc;б
The Guggenheim Museum building in New York was designed by:;A) Le Corbusier;B) Frank Lloyd Wright;C) Miles van der Rohe;D) Gerrit Rietveld;E) Renzo Piano;б
The plan below is the layout of which type of church? (wider windows);A) Baroque;B) Gothic;C) Early Christian;D) Romanesque;E) Renaissance;б
"What is the correct chronological order among the following architects?
(Where:
a = Vanvitelli
b = Bramante
c = Brunelleschi
d = Palladio
e = Bernini)";"A) a; b; c; e; d";"B) d; c; e; a; b";"C) e; a; b; c; d";"D) d; c; a; e; b";"E) a; b; c; d; e";б
Who is the author of the novel Doctor Zhivago?;A) Gogol;B) Pasternak;C) Dostoevsky;D) Tolstoy;E) Chekhov;б
"Match the film to the historical period it refers to.
numbers The Patriot C
Braveheart &
Rome, Open City a
Good Bye Lenin
Apocalypse Now
Letters va-Resistance to Nazism
-Vietnam War
-American War of Independence
-Fall of the Berlin Wall
-Fight for Scottish Independence";A) 5b 2e 4a 3d 1c;B) 3a 5c 1e 2b 4d;C) 3a 5b 2e 4d 1c;D) 1a 4b 3d 5c 2e;E) 2e 1b 4a 3d 5c;в
Which of the following is NOT in the Alps?;A) Maritime Alps;B) Carnic Alps;C) Dolomites;D) Cozie;E) Julian Alps;в
"Complete the following sentence with the only pertinent noun:
“Hiatal hernia is a ___ of a part of the stomach which, from its normal abdominal location, rises through the diaphragm…”**";A) Protrusion;B) Intrusion;C) Outgrowth;D) Invasion;E) Abduction;а
Order:Mozart, Bach, Monteverdi, Respighi, Verdi;A) 21354;B) 32154;C) 31245;D) 13254;E) 23145;б
The building in the figure is known as the Rotunda and is the work of:;A) Filippo Brunelleschi;B) Leon Battista Alberti;C) Gian Lorenzo Bernini;D) Andrea Palladio;E) Donato Bramante;г
To which style does the work in the image belong? Duomo di Modena, The architect of the Modena Cathedral is Lanfranco.;A) Romanesque;B) Gothic;C) Neoclassical;D) Renaissance;E) Baroque;а
Who is the author of this important museum? Solomon R. Guggenheim Museum in New York City, often simply called The Guggenheim;A) Frank O. Gehry;B) Ludwig Mies van der Rohe;C) Philip Johnson;D) Frank Lloyd Wright;E) Alvar Aalto;г
Place the listed art movements in the correct chronological order.;"A) Neoclassicism; Impressionism; Expressionism; Pop Art";"B) Impressionism; Pop Art; Expressionism; Neoclassicism";"C) Impressionism; Expressionism; Neoclassicism; Pop Art";"D) Pop Art; Expressionism; Impressionism; Neoclassicism";"E) Neoclassicism; Impressionism; Pop Art; Expressionism";а
As a result of which event did the “Aventine Secession” occur?;A) The fascist laws;B) The murder of Matteotti;C) The March on Rome;D) The imprisonment of Antonio Gramsci;E) The “Red Biennium”;б
"What is the exact chronological sequence between the events reported below?
Promulgation of the Italian Constitution
Birth of the Italian Republic
Designation of Rome as capital
March on Rome
End of World War II";A) cdeba;B) abced;C) cdeab;D) cedba;E) dceba;а
"What is the exact chronological sequence between the events reported below?
Storming of the Bastille
Napoleon Bonaparte's Russian Campaign
United States Declaration of Independence
Congress of Vienna
End of Napoleon III's empire";A) acdbe;B) cadbe;C) aebdc;D) cabde;E) cabed;г
The socialist government known as the Paris Commune can be dated to:;A) 1861;B) 1871;C) 1848;D) 1815;E) 1890;б
The first President of the Italian Republic was:;A) Luigi Einaudi;B) Giovanni Leone;C) Sandro Pertini;D) Antonio Gramsci;E) Enrico De Nicola;д
The expression Blitzkrieg (lightning war) is primarily used to define the tactic of rapid penetration used by:;A) Frederick II of Prussia;B) Josef Radetzky von Radetz;C) Adolf Hitler;D) Otto von Bismarck;E) Klemens von Metternich;в
The State of Israel was proclaimed on:;A) 5 June 1967;B) 14 May 1948;C) 22 January 1933;D) 27 January 1945;E) 6 October 1973;б
What is the name of the main square in Greek cities on which public and sacred buildings overlook?;A) Acropolis;B) Agora;C) Plateia;D) Peristyle;E) Forum;б
To which architectural style do you associate the Tower of Pisa?;A) Renaissance;B) Neoclassical;C) Gothic;D) Classical;E) Romanesque;д
Who designed the Royal Palace of Caserta?;A) Giuseppe Piermarini;B) Filippo Raguzzini;C) Luigi Vanvitelli;D) Alessandro Galilei;E) Ferdinando Fuga;в
In the following list of famous museums matched with the cities that host them, one is incorrect. Which one?;A) Hermitage – Moscow;B) Capodimonte – Naples;C) Metropolitan – New York;D) Bargello – Florence;E) Prado – Madrid;а
